ID,Nombre,Dirección,Código postal,Ciudad,Provincia,País,Dirección completa,Consulta geocodificación,Latitud,Longitud,Observaciones
92,SUN SAILS YACHTS,,41120,GELVES,Sevilla,España,"41120 GELVES, Sevilla, España","41120 GELVES, Sevilla, España",,,"Puerto Deportivo de Gelves. Edf. Proa, local 4"
93,TALLERES CALVO,Quejío nº 23 Polígono Ind. NAVISA,41006,SEVILLA,Sevilla,España,"Quejío nº 23 Polígono Ind. NAVISA, 41006 SEVILLA, Sevilla, España","Quejío nº 23 Polígono Ind. NAVISA, 41006 SEVILLA, Sevilla, España",,,
94,HNOS. GUASCH,"Pol. Ind. Les Tàpies - C/ Gil Vernet, 35",43890,L'HOSPITALET DE L'INFANT,Tarragona,España,"Pol. Ind. Les Tàpies - C/ Gil Vernet, 35, 43890 L'HOSPITALET DE L'INFANT, Tarragona, España","Pol. Ind. Les Tàpies - C/ Gil Vernet, 35, 43890 L'HOSPITALET DE L'INFANT, Tarragona, España",,,
95,BERTO TALLERES NAVALES,"Pol. Ind. Sur, Camí Vereda Sud, 1",46469,BENIPARRELL,Valencia,España,"Pol. Ind. Sur, Camí Vereda Sud, 1, 46469 BENIPARRELL, Valencia, España","Pol. Ind. Sur, Camí Vereda Sud, 1, 46469 BENIPARRELL, Valencia, España",,,
96,"GRAND MARINE, S.L.","C/ Camino Cami Vell Azagador, 15-BIS",46470,MASSANASSA,Valencia,España,"C/ Camino Cami Vell Azagador, 15-BIS, 46470 MASSANASSA, Valencia, España","C/ Camino Cami Vell Azagador, 15-BIS, 46470 MASSANASSA, Valencia, España",,,
97,MOTOR NAUTIC EL PERELLO S.L.,AVDA. EL PANTA Nº 14 BAJO,46420,EL PERELLO,Valencia,España,"AVDA. EL PANTA Nº 14 BAJO, 46420 EL PERELLO, Valencia, España","AVDA. EL PANTA Nº 14 BAJO, 46420 EL PERELLO, Valencia, España",,,"Envío motores del DF2,5 al DF30:"
98,NÁUTICA MARCEL,Avda. Alfonso el Magnánimo (Club Náutico),46780,OLIVA,Valencia,España,"Avda. Alfonso el Magnánimo (Club Náutico), 46780 OLIVA, Valencia, España","Avda. Alfonso el Magnánimo (Club Náutico), 46780 OLIVA, Valencia, España",,,
99,"NÁUTICA SAGUNTO, S.L.","C/Torres-Torres, 6, 1ª 1ª",46500,SAGUNTO,Valencia,España,"C/Torres-Torres, 6, 1ª 1ª, 46500 SAGUNTO, Valencia, España","C/Torres-Torres, 6, 1ª 1ª, 46500 SAGUNTO, Valencia, España",,,
100,NÁUTICA ASTILLERO ZAROBE,Pol. Landabaso B 8.6,48370,BERMEO,Bizkaia,España,"Pol. Landabaso B 8.6, 48370 BERMEO, Bizkaia, España","Pol. Landabaso B 8.6, 48370 BERMEO, Bizkaia, España",,,
101,NÁUTICA LLAMAS,"Pto.Dep.Getxo, Area Técnica 2, Pabellon D4 Marina Getxo",48990,GETXO,Bizkaia,España,"Pto.Dep.Getxo, Area Técnica 2, Pabellon D4 Marina Getxo, 48990 GETXO, Bizkaia, España","Pto.Dep.Getxo, Area Técnica 2, Pabellon D4 Marina Getxo, 48990 GETXO, Bizkaia, España",,,
